State,Year,HLp,EIr,PerTscr,Dr,state_per_capita_fund,drinks_per_capita,Health_care_expenditure,age_under5,Total_population,uninsured_under18_rate,Median_household_income,under18_poverty_rate,F_income_below_poverty_rate,Per_rep_women_uninsured,Per_women_breastfed,EI,TDia,EIrd
Kansas,2019,1.8025399426464568,1.4748054076198278,99.01297998918336,14.474941963676088,13.01,440.14001,8745,183236,2913314,58.184197682420496,62087,147.25786951391822,74.82184463570688,0.134914,0.871,54,530,101.88679245283019
Kentucky,2019,1.186048849130566,0.02010252286661976,98.2694928982043,14.493918986832847,35.46,443.13,9744,273130,4467673,42.59550003495229,52295,217.14562975610656,118.3714167307195,0.08397,0.747,1,721,1.3869625520110958
Louisiana,2019,1.7853770750716724,1.0643594101388818,99.01412520609884,3.330414928499082,24.81,564.96002,9657,292977,4648794,43.55861278902042,51073,270.3235096405012,143.18779060737222,0.105836,0.711,62,194,319.58762886597935
Maine,2019,1.4231077114649116,0.8894423196655696,97.66330785267547,15.387352130214357,27.37,636.66998,11488,62813,1344212,56.02188456351223,58924,138.33045373706824,64.9326030785024,0.108643,0.866,10,173,57.80346820809248
Maryland,2019,1.329606406285412,0.9216589861751152,99.07489184617458,10.742615396237818,43.13,439.26001,10248,358346,6045680,33.870287474259875,86738,120.14626448525034,57.95755333191981,0.080023,0.885,61,711,85.79465541490858
Massachusetts,2019,2.0042102834731956,1.5716469129394124,99.18482924317831,18.470455921792546,83.44,553.64001,12729,355066,6892503,15.227689322778197,85843,116.25685692436458,59.56258389614445,0.031843,0.8,109,1281,85.08977361436378
Michigan,2019,1.6463803424090446,0.9231149896744354,99.21068781570128,4.882041130958612,15.17,519.75,9532,567914,9986857,34.187374561004624,59584,176.18497000030865,87.78714626184134,0.069949,0.831,97,513,189.08382066276803
Missouri,2019,1.2737961926091823,0.8958566629339306,98.05509422567496,11.50615901455767,7.13,559.84998,9431,365451,6137428,65.45624981853425,57409,171.20440149453734,87.6494539292194,0.140733,0.783,64,822,77.85888077858881
Montana,2019,1.1108025548458762,0.8331019161344071,97.1056179775281,3.795242062390077,21.73,697.22998,9808,58850,1068778,62.19001170664714,57153,149.2365286443562,78.51038441093048,0.106478,0.835,9,41,219.5121951219512
Nebraska,2019,2.037554934079105,1.1186576108669597,99.38455429819338,4.674390731122653,38.49,483.34,9917,129551,1934408,56.5511637263142,63229,110.34740477851676,62.12412248764231,0.105749,0.861,28,117,239.31623931623932
